country,year,gdpPercap,lifeExp,pop,continent
Afghanistan,1800,560.88817,28.21,3280000.0,Asia
Angola,1800,435.23259,26.98,1567028.0,Africa
Albania,1800,547.53369,35.4,400000.0,Europe
UAE,1800,1332.77712,30.7,40153.0,Other
Argentina,1800,1981.80486,33.2,534000.0,Americas
Armenia,1800,686.42028,34.0,413326.0,Other
Antigua and Barbuda,1800,1010.93415,33.54,37000.0,Other
Australia,1800,957.72201,34.05,200000.0,Oceania
Austria,1800,2266.8642,34.4,3000000.0,Europe
Azerbaijan,1800,845.58821,29.17,879960.0,Other
Burundi,1800,619.66283,31.5,899097.0,Africa
Belgium,1800,3098.3638,40.0,3250000.0,Europe
Benin,1800,974.56501,31.0,636559.0,Africa
Burkina Faso,1800,694.43297,29.2,1665421.0,Africa
Bangladesh,1800,900.12777,25.5,19191243.0,Asia
Bulgaria,1800,1332.55028,35.8,2250000.0,Europe
Bahrain,1800,996.21276,30.3,64474.0,Asia
Bahamas,1800,1929.72238,35.18,27350.0,Other
Bosnia and Herzegovina,1800,1153.46113,35.1,851806.0,Europe
Belarus,1800,1068.21686,36.2,2355081.0,Other
Belize,1800,773.2244,26.5,25526.0,Other
Bolivia,1800,1080.25565,33.0,887000.0,Americas
Brazil,1800,1157.83343,32.0,2500000.0,Americas
Barbados,1800,1524.08005,32.12,81729.0,Other
Brunei,1800,2019.1974,29.2,2258.0,Other
Bhutan,1800,839.9968,28.8,392287.0,Other
Botswana,1800,417.99523,33.6,121000.0,Africa
Central African Republic,1800,570.59565,30.0,479444.0,Africa
Canada,1800,1651.44556,39.0,500000.0,Americas
Switzerland,1800,2537.35123,38.0,1750000.0,Europe
Chile,1800,1139.13716,32.0,771447.0,Americas
China,1800,1236.62486,32.0,330000000.0,Asia
Cote d'Ivoire,1800,681.07849,31.16,1088530.0,Africa
Cameroon,1800,694.43297,28.75,1860054.0,Africa
"Congo, Dem. Rep.",1800,413.98888,31.6,5163819.0,Africa
"Congo, Rep.",1800,670.46171,32.7,314465.0,Africa
Colombia,1800,1257.99203,32.0,1206000.0,Americas
Comoros,1800,690.31704,32.1,56346.0,Africa
Cape Verde,1800,574.24265,33.8,55716.0,Other
Costa Rica,1800,1067.54704,30.21,53000.0,Americas
Cuba,1800,826.50377,32.2,272000.0,Americas
Cyprus,1800,1139.13716,38.5,184392.0,Other
Czech Republic,1800,1906.59503,34.95,5516349.0,Europe
Germany,1800,2386.4456,38.37,18000000.0,Europe
Djibouti,1800,1089.28336,29.9,22848.0,Africa
Denmark,1800,2385.11249,37.41,1000000.0,Europe
Dominican Republic,1800,761.20537,29.9,150000.0,Americas
Algeria,1800,889.88987,28.82,2500000.0,Africa
Ecuador,1800,610.81174,32.9,500000.0,Americas
Egypt,1800,1271.89773,33.0,3500000.0,Africa
Eritrea,1800,710.45834,30.2,205010.0,Africa
Spain,1800,1760.12048,29.5,11500000.0,Europe
Estonia,1800,1859.20762,36.14,334136.0,Other
Ethiopia,1800,835.44087,29.7,12032589.0,Africa
Finland,1800,1619.89844,36.57,800000.0,Europe
Fiji,1800,1048.32669,26.1,130533.0,Other
France,1800,2216.84371,33.97,29000000.0,Europe
"Micronesia, Fed. Sts.",1800,691.76207,26.7,16416.0,Other
Gabon,1800,585.33417,30.6,158227.0,Africa
UK,1800,4464.40272,38.65,10750000.0,Other
Georgia,1800,908.09192,31.87,1072178.0,Other
Ghana,1800,885.21126,28.0,2016034.0,Africa
Guinea,1800,507.47025,29.5,983959.0,Africa
Gambia,1800,927.9167,28.8,103274.0,Africa
Guinea-Bissau,1800,573.48516,32.0,218167.0,Africa
Equatorial Guinea,1800,424.78625,29.8,80377.0,Africa
Greece,1800,1516.74193,36.6,2250000.0,Europe
Grenada,1800,1280.69465,31.4,29409.0,Other
Guatemala,1800,1195.16133,25.8,462930.0,Americas
Guyana,1800,1621.23389,31.12,166034.0,Other
Honduras,1800,861.36397,33.9,130000.0,Americas
Croatia,1800,1049.98942,36.1,1227886.0,Europe
Haiti,1800,846.67404,29.0,500000.0,Americas
Hungary,1800,1468.99282,36.0,3250000.0,Europe
Indonesia,1800,1201.21641,30.0,16108545.0,Asia
India,1800,1381.11817,25.44,200733034.0,Asia
Ireland,1800,1532.4819,38.3,5250000.0,Europe
Iran,1800,1171.18791,25.6,6000000.0,Asia
Iraq,1800,1167.53461,31.2,1000000.0,Asia
Iceland,1800,1208.7834,42.85,61428.0,Europe
Israel,1800,1257.30583,32.0,209954.0,Asia
Italy,1800,3401.50732,29.69,19000000.0,Europe
Jamaica,1800,1491.69543,34.2,300000.0,Americas
Jordan,1800,1171.18791,31.7,200000.0,Asia
Japan,1800,1758.78504,36.4,28000000.0,Asia
Kazakhstan,1800,1372.34889,26.2,2041282.0,Other
Kenya,1800,860.02852,25.5,2574000.0,Africa
Kyrgyz Republic,1800,678.40759,23.94,530343.0,Other
Cambodia,1800,834.40603,35.0,2090000.0,Asia
Kiribati,1800,735.83186,24.9,17876.0,Other
South Korea,1800,1089.72558,25.8,9395000.0,Other
Kuwait,1800,1464.98647,26.0,81280.0,Asia
Lao,1800,990.41561,31.9,470000.0,Other
Lebanon,1800,1423.78552,29.7,300000.0,Asia
Liberia,1800,1064.35207,31.1,313543.0,Africa
Libya,1800,1201.90321,33.1,230044.0,Africa
St. Lucia,1800,753.43498,28.01,24000.0,Other
Sri Lanka,1800,1171.18791,32.6,1750000.0,Asia
Lesotho,1800,512.81204,32.8,276361.0,Africa
Lithuania,1800,1609.44941,28.9,778655.0,Other
Luxembourg,1800,2104.82048,36.9,127030.0,Other
Latvia,1800,1134.04483,33.0,590588.0,Other
Morocco,1800,929.09569,33.1,2500000.0,Africa
Moldova,1800,861.36397,33.15,712558.0,Other
Madagascar,1800,603.88389,30.5,1500000.0,Africa
Maldives,1800,1124.44723,32.65,42378.0,Other
Mexico,1800,1742.75966,26.9,5100000.0,Americas
North Macedonia,1800,835.57028,36.1,391865.0,Other
Mali,1800,814.62329,26.41,1403398.0,Africa
Malta,1800,1033.78402,28.7,134072.0,Other
Myanmar,1800,1072.36476,30.8,6000000.0,Asia
Montenegro,1800,1411.56855,35.4,126582.0,Europe
Mongolia,1800,574.24265,31.8,600000.0,Asia
Mozambique,1800,480.76129,30.28,2000000.0,Africa
Mauritania,1800,627.66057,32.0,382696.0,Africa
Mauritius,1800,1382.1887,28.7,59000.0,Africa
Malawi,1800,559.57153,30.3,737000.0,Africa
Malaysia,1800,1283.36554,30.6,287000.0,Asia
Namibia,1800,699.84459,32.4,229000.0,Africa
Niger,1800,613.07272,30.8,852737.0,Africa
Nigeria,1800,1107.08641,30.4,12100860.0,Africa
Nicaragua,1800,1299.39092,25.4,186000.0,Americas
Netherlands,1800,5587.5145,39.86,2000000.0,Europe
Norway,1800,1789.57391,37.92,900000.0,Europe
Nepal,1800,856.02218,32.8,4000000.0,Asia
New Zealand,1800,1099.73739,34.05,200000.0,Oceania
Oman,1800,471.41315,32.3,300000.0,Asia
Pakistan,1800,1248.64389,25.8,13119841.0,Asia
Panama,1800,1067.34631,32.9,75600.0,Americas
Peru,1800,1412.904,35.7,1271000.0,Americas
Philippines,1800,1243.3021,30.9,2500000.0,Asia
Papua New Guinea,1800,729.15462,31.5,754894.0,Other
Poland,1800,1204.57411,35.9,9000000.0,Europe
North Korea,1800,1026.11465,26.0,4345000.0,Other
Portugal,1800,1948.41865,35.6,2750000.0,Europe
Paraguay,1800,1042.51004,35.5,300000.0,Americas
Palestine,1800,1135.13081,32.1,165944.0,Other
Qatar,1800,1464.98647,30.8,14092.0,Other
Romania,1800,888.07293,35.7,5500000.0,Europe
Russia,1800,1869.62722,29.57,31295641.0,Other
Rwanda,1800,575.57809,31.8,928368.0,Africa
Saudi Arabia,1800,1049.26746,32.1,2000000.0,Asia
Sudan,1800,658.37587,31.4,3994154.0,Africa
Senegal,1800,663.71766,25.2,1009886.0,Africa
Singapore,1800,1081.52158,29.1,30000.0,Asia
Solomon Islands,1800,484.76763,25.1,56998.0,Other
Sierra Leone,1800,967.34945,25.1,794264.0,Africa
El Salvador,1800,1161.83977,28.7,248000.0,Americas
Somalia,1800,926.80092,29.4,988951.0,Africa
Serbia,1800,1722.72794,35.5,2147197.0,Europe
South Sudan,1800,678.12715,26.67,1027378.0,Other
Sao Tome and Principe,1800,1034.73408,31.0,22731.0,Africa
Suriname,1800,2184.79295,32.9,80721.0,Other
Slovak Republic,1800,1671.16902,36.4,2140651.0,Europe
Slovenia,1800,2058.50844,36.6,469664.0,Europe
Sweden,1800,1824.22199,32.16,2500000.0,Europe
Eswatini,1800,619.64788,32.3,86000.0,Other
Seychelles,1800,1057.67483,37.0,12522.0,Other
Syria,1800,1441.8811,31.1,1250000.0,Asia
Chad,1800,484.76763,30.9,1432000.0,Africa
Togo,1800,878.72479,31.3,445985.0,Africa
Thailand,1800,1213.92225,30.4,3000000.0,Asia
Tajikistan,1800,742.5091,24.24,466629.0,Other
Turkmenistan,1800,1259.32748,24.0,367215.0,Other
Timor-Leste,1800,695.76842,28.95,137262.0,Other
Tonga,1800,885.40203,28.2,18658.0,Other
Trinidad and Tobago,1800,1642.60106,32.9,20000.0,Americas
Tunisia,1800,910.95968,28.8,800000.0,Africa
Turkey,1800,1280.30174,35.0,9761393.0,Europe
Tanzania,1800,569.75434,32.2,3000000.0,Africa
Uganda,1800,707.66604,25.3,2500000.0,Africa
Ukraine,1800,1017.61139,36.6,11215490.0,Other
Uruguay,1800,2454.55345,32.9,55000.0,Americas
USA,1800,3398.7152,39.41,6000000.0,Other
Uzbekistan,1800,714.46469,26.93,1919159.0,Other
St. Vincent and the Grenadines,1800,1119.10544,25.99,25781.0,Other
Venezuela,1800,1432.93572,32.2,1000000.0,Americas
Vietnam,1800,1121.77633,32.0,4000000.0,Asia
Vanuatu,1800,781.23709,24.3,27791.0,Other
Samoa,1800,1869.62722,25.4,47300.0,Other
Yemen,1800,1177.67648,23.39,2593000.0,Other
South Africa,1800,2041.90002,33.5,1447911.0,Africa
Zambia,1800,621.74898,32.6,747000.0,Africa
Zimbabwe,1800,1072.04061,33.7,1085814.0,Africa
Afghanistan,1801,560.88817,28.2,3280000.0,Asia
Angola,1801,436.64111,26.98,1567028.0,Africa
Albania,1801,549.10393,35.4,401773.0,Europe
UAE,1801,1336.78346,30.7,40153.0,Other
Argentina,1801,1988.7157,33.2,519565.0,Americas
Armenia,1801,688.16601,34.0,413326.0,Other
Antigua and Barbuda,1801,1010.93415,33.54,37000.0,Other
Australia,1801,963.58322,34.05,205195.0,Oceania
Austria,1801,2275.45546,34.4,3017451.0,Europe
Azerbaijan,1801,845.58821,29.17,879960.0,Other
Burundi,1801,619.66283,31.5,899097.0,Africa
Belgium,1801,3103.55587,40.01,3258961.0,Europe
Benin,1801,974.56501,31.0,636559.0,Africa
Burkina Faso,1801,696.16757,29.2,1665421.0,Africa
Bangladesh,1801,900.12777,25.5,19229085.0,Asia
Bulgaria,1801,1333.77505,35.84,2246807.0,Europe
Bahrain,1801,996.21276,30.3,64474.0,Asia
Bahamas,1801,1929.72238,35.18,27350.0,Other
Bosnia and Herzegovina,1801,1153.46113,35.1,851806.0,Europe
Belarus,1801,1068.21686,36.2,2355081.0,Other
Belize,1801,773.2244,26.5,25526.0,Other
Bolivia,1801,1080.25565,33.0,896597.0,Americas
Brazil,1801,1157.83343,32.0,2574764.0,Americas
Barbados,1801,1525.74936,32.12,81729.0,Other
Brunei,1801,2019.1974,29.2,2258.0,Other
Bhutan,1801,839.9968,28.8,392287.0,Other
Botswana,1801,419.24036,33.6,120541.0,Africa
Central African Republic,1801,570.59565,30.0,479444.0,Africa
Canada,1801,1661.50769,39.0,512396.0,Americas
Switzerland,1801,2549.91349,38.0,1761104.0,Europe
Chile,1801,1139.13716,32.0,771447.0,Americas
China,1801,1233.24497,32.0,331538997.0,Asia
Cote d'Ivoire,1801,681.07849,31.16,1088530.0,Africa
Cameroon,1801,696.16757,28.75,1860054.0,Africa
"Congo, Dem. Rep.",1801,413.98888,31.6,5163819.0,Africa
"Congo, Rep.",1801,671.62773,32.7,314465.0,Africa
Colombia,1801,1251.54449,32.0,1206000.0,Americas
Comoros,1801,691.30887,32.1,56346.0,Africa
Cape Verde,1801,574.24265,33.8,55716.0,Other
Costa Rica,1801,1067.54704,30.21,53460.0,Americas
Cuba,1801,832.91788,32.33,292989.0,Americas
Cyprus,1801,1139.13716,38.5,184412.0,Other
Czech Republic,1801,1907.59064,34.95,5516349.0,Europe
Germany,1801,2378.43292,38.37,18294612.0,Europe
Djibouti,1801,1092.18039,29.9,22848.0,Africa
Denmark,1801,2389.85426,38.51,1007231.0,Europe
Dominican Republic,1801,761.20537,29.9,146136.0,Americas
Algeria,1801,891.13447,28.82,2509126.0,Africa
Ecuador,1801,610.81174,32.9,500000.0,Americas
Egypt,1801,1273.49459,33.0,3531800.0,Africa
Eritrea,1801,710.45834,30.2,205010.0,Africa
Spain,1801,1805.52572,29.5,11534168.0,Europe
Estonia,1801,1861.18972,35.7,334136.0,Other
Ethiopia,1801,835.44087,29.7,12032589.0,Africa
Finland,1801,1626.32742,40.3,815316.0,Europe
Fiji,1801,1048.32669,26.1,130762.0,Other
France,1801,2110.00787,36.37,29108552.0,Europe
"Micronesia, Fed. Sts.",1801,691.76207,26.7,16416.0,Other
Gabon,1801,585.33417,30.6,158227.0,Africa
UK,1801,4475.0863,37.35,10866183.0,Other
Georgia,1801,908.09192,31.87,1072178.0,Other
Ghana,1801,885.21126,28.0,2016034.0,Africa
Guinea,1801,507.47025,29.51,983959.0,Africa
Gambia,1801,927.9167,28.8,103274.0,Africa
Guinea-Bissau,1801,573.48516,32.0,218167.0,Africa
Equatorial Guinea,1801,424.78625,29.8,80377.0,Africa
Greece,1801,1520.06326,36.6,2253060.0,Europe
Grenada,1801,1280.69465,31.4,29409.0,Other
Guatemala,1801,1195.16133,25.8,468978.0,Americas
Guyana,1801,1621.23389,31.12,166034.0,Other
Honduras,1801,861.36397,33.9,130246.0,Americas
Croatia,1801,1059.72958,36.1,1227886.0,Europe
Haiti,1801,846.67404,29.0,509306.0,Americas
Hungary,1801,1468.99282,36.0,3289809.0,Europe
Indonesia,1801,1196.36301,30.0,16150710.0,Asia
India,1801,1379.5178,25.44,201128850.0,Asia
Ireland,1801,1544.05177,38.3,5329879.0,Europe
Iran,1801,1171.18791,25.6,6026829.0,Asia
Iraq,1801,1167.53461,31.2,1004456.0,Asia
Iceland,1801,1208.7834,33.88,61428.0,Europe
Israel,1801,1258.73621,32.0,209954.0,Asia
Italy,1801,3358.65176,29.69,19057138.0,Europe
Jamaica,1801,1491.69543,34.2,304384.0,Americas
Jordan,1801,1171.18791,31.7,200817.0,Asia
Japan,1801,1758.78504,36.4,28142859.0,Asia
Kazakhstan,1801,1373.55271,26.2,2041282.0,Other
Kenya,1801,860.02852,25.5,2587646.0,Africa
Kyrgyz Republic,1801,683.29915,23.94,530343.0,Other
Cambodia,1801,836.57896,35.0,2090000.0,Asia
Kiribati,1801,735.83186,24.9,17876.0,Other
South Korea,1801,1089.72558,25.8,9395000.0,Other
Kuwait,1801,1470.32827,26.0,81280.0,Asia
Lao,1801,991.56193,31.9,470000.0,Other
Lebanon,1801,1423.78552,29.7,301524.0,Asia
Liberia,1801,1069.95785,31.1,313543.0,Africa
Libya,1801,1201.90321,33.1,230184.0,Africa
St. Lucia,1801,754.29703,28.01,24000.0,Other
Sri Lanka,1801,1171.18791,32.6,1718222.0,Asia
Lesotho,1801,512.81204,32.8,276361.0,Africa
Lithuania,1801,1610.71669,28.9,778655.0,Other
Luxembourg,1801,2104.82048,36.9,127030.0,Other
Latvia,1801,1135.55487,33.0,590588.0,Other
Morocco,1801,929.09569,33.1,2509126.0,Africa
Moldova,1801,861.36397,33.15,712558.0,Other
Madagascar,1801,603.88389,30.5,1508658.0,Africa
Maldives,1801,1125.78268,32.65,42378.0,Other
Mexico,1801,1733.41152,26.9,5165663.0,Americas
North Macedonia,1801,835.57028,36.1,391865.0,Other
Mali,1801,814.62329,26.41,1403398.0,Africa
Malta,1801,1035.10769,28.7,134072.0,Other
Myanmar,1801,1072.36476,30.8,5840961.0,Asia
Montenegro,1801,1404.6028,35.4,126582.0,Europe
Mongolia,1801,574.24265,31.8,600936.0,Asia
Mozambique,1801,481.3697,30.28,2004694.0,Africa
Mauritania,1801,627.66057,32.0,382696.0,Africa
Mauritius,1801,1382.1887,28.7,60670.0,Africa
Malawi,1801,559.57153,30.3,752981.0,Africa
Malaysia,1801,1283.36554,30.6,287000.0,Asia
Namibia,1801,699.84459,32.4,225966.0,Africa
Niger,1801,613.07272,30.8,852737.0,Africa
Nigeria,1801,1107.08641,30.4,12100860.0,Africa
Nicaragua,1801,1299.39092,25.4,186000.0,Americas
Netherlands,1801,5490.02679,39.86,2004651.0,Europe
Norway,1801,1793.81628,35.82,898489.0,Europe
Nepal,1801,856.02218,32.8,3993964.0,Asia
